line number,id,date (YYMMDD),calcium imaging directory,ephys directory,indices of TTL events to delete,zero time (s),baseline period (min),decay_time,crop_square
35,R220817B,221125,../../experimental_data/K99/miniscope_data/sleep/R220817B/2022_11_25/14_04_09,/Users/lukerichards/Desktop/K99/Neuralynx_data/R220817B/2022-11-25_13-47-06,"[9119,9120,9121]",0,,0.4,"(187,347, 432,153)"
36,R220817B,221128,../../experimental_data/K99/miniscope_data/propofol/R220817B/2022_11_28/14_25_30,/Users/lukerichards/Desktop/K99/Neuralynx_data/R220817B/2022-11-28_14-15-03,[],0,,0.4,"(201,359, 433,149)"
37,R221020A,221129,../../experimental_data/K99/miniscope_data/sleep/R221020A/2022_11_29/14_23_10,/Users/lukerichards/Desktop/K99/Neuralynx_data/R221020A/2022-11-29_14-09-59,[],0,,0.4,"(163,378, 382,183)"
38,R221020B,221130,../../experimental_data/K99/miniscope_data/sleep/R221020B/2022_11_30/14_11_13,/Users/lukerichards/Desktop/K99/Neuralynx_data/R221020B/2022-11-30_13-53-02,[],0,,0.4,"(309,315, 425,191)"
39,R221020A,221202,../../experimental_data/K99/miniscope_data/ketamine/R221020A/2022_12_02/15_11_16,/Users/lukerichards/Desktop/K99/Neuralynx_data/R221020A/2022-12-02_15-01-50,[],0,,0.4,"(151,356, 403,172)"
40,R221020B,221206,../../experimental_data/K99/miniscope_data/dexmedetomidine/R221020B/2022_12_06/15_05_12,/Users/lukerichards/Desktop/K99/Neuralynx_data/R221020B/2022-12-06_15-01-21,[],0,,0.4,"(289,346, 432,151)"
41,R221020A,221207,../../experimental_data/K99/miniscope_data/dexmedetomidine/R221020A/2022_12_07/15_08_13,/Users/lukerichards/Desktop/K99/Neuralynx_data/R221020A/2022-12-07_14-18-02,[],0,,0.4,"(186,337, 354,182)"
42,R220817B,221208,../../experimental_data/K99/miniscope_data/ketamine/R220817B/2022_12_08/14_33_20,/Users/lukerichards/Desktop/K99/Neuralynx_data/R220817B/2022-12-08_14-19-12,[],0,,0.4,"(186,366, 441,145)"
43,R221020B,221215,../../experimental_data/K99/miniscope_data/propofol/R221020B/2022_12_15/15_26_13,/Users/lukerichards/Desktop/K99/Neuralynx_data/R221020B/2022-12-15_14-57-57,[2509],0,,0.4,"(295,339, 420,177)"
44,R221020A,221216,../../experimental_data/K99/miniscope_data/propofol/R221020A/2022_12_16/15_26_13,/Users/lukerichards/Desktop/K99/Neuralynx_data/R221020A/2022-12-16_14-54-23,[3914],0,,0.4,"(180,347, 403,153)"
