line number,id,date (YYMMDD),Box Calcium Folder ID,calcium imaging directory,rat weight (kg),systemic drug,systemic dose (% or mg/kg/min),total systemic time (min),,,Box ephys folder ID,ephys directory
35,R220817B,221125,,K99/miniscope_data/sleep/R220817B/2022_11_25/14_04_09,0.3085,NA,NA,NA,,,,K99\Neuralynx_data\R220817B\2022-11-25_13-47-06
36,R220817B,221128,,K99/miniscope_data/propofol/R220817B/2022_11_28/14_25_30,0.307,propofol,0.8,40,,,,K99\Neuralynx_data\R220817B\2022-11-28_14-15-03
37,R221020A,221129,,K99/miniscope_data/sleep/R221020A/2022_11_29/14_23_10,0.33,NA,NA,NA,,,,K99\Neuralynx_data\R221020A\2022-11-29_14-09-59
38,R221020B,221130,,K99/miniscope_data/sleep/R221020B/2022_11_30/14_11_13,0.322,NA,NA,NA,,,,K99\Neuralynx_data\R221020B\2022-11-30_13-53-02
39,R221020A,221202,,K99/miniscope_data/ketamine/R221020A/2022_12_02/15_11_16,0.333,ketamine,2,30,,,,K99\Neuralynx_data\R221020A\2022-12-02_15-01-50
40,R221020B,221206,,K99/miniscope_data/dexmedetomidine/R221020B/2022_12_06/15_05_12,0.3405,dexmedetomidine,0.0003,45,,,,K99\Neuralynx_data\R221020B\2022-12-06_15-01-21
41,R221020A,221207,,K99/miniscope_data/dexmedetomidine/R221020A/2022_12_07/15_08_13,0.3345,dexmedetomidine,0.0003,45,,,,K99\Neuralynx_data\R221020A\2022-12-07_14-18-02
42,R220817B,221208,,K99/miniscope_data/ketamine/R220817B/2022_12_08/14_33_20,0.3075,ketamine,2,30,,,,K99\Neuralynx_data\R220817B\2022-12-08_14-19-12
43,R221020B,221215,,K99/miniscope_data/propofol/R221020B/2022_12_15/15_26_13,0.3505,propofol,0.8,40,,,,K99\Neuralynx_data\R221020B\2022-12-15_14-57-57
44,R221020A,221216,,K99/miniscope_data/propofol/R221020A/2022_12_16/15_26_13,0.3465,propofol,0.8,40,,,,K99\Neuralynx_data\R221020A\2022-12-16_14-54-23
45,R221020B,221219,,K99/miniscope_data/ketamine/R221020B/2022_12_19/15_22_26,0.346,ketamine,2,30,,,,K99\Neuralynx_data\R221020B\2022-12-19_15-12-40
46,R221020A,221221,,K99/miniscope_data/dexmedetomidine/R221020A/2022_12_21/15_36_30,0.343,dexmedetomidine,0.0045,10,,,,K99\Neuralynx_data\R221020A\2022-12-21_15-30-27
47,R221020B,221222,,K99/miniscope_data/dexmedetomidine/R221020B/2022_12_22/15_03_12,0.346,dexmedetomidine,0.0045,10,,,,K99\Neuralynx_data\R221020B\2022-12-22_14-49-11
