line number,id,date (YYMMDD),calcium imaging directory,ephys directory,rat weight (kg),systemic drug,systemic dose (% or mg/kg/min),systemic drug concentration (mg/mL),total systemic time (min),emg channel,events filename,LFP and EEG CSCs,comments
1,Rtest,200803,,D:\Dropbox\Documents\Brown_Lab\data_analysis_code\miniscopes_EEG\testing\test_recordings\Rtest_200803,NA,NA,NA,NA,NA,EMG.ncs,Events.nev,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,
2,Rtest,200914,,D:\Dropbox\Documents\Brown_Lab\data_analysis_code\miniscopes_EEG\testing\test_recordings\Rtest_200914,NA,NA,NA,NA,NA,EMG.ncs,Events.nev,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,
3,R201209,210111,D:\Dropbox\Documents\Brown_Lab\experimental_data\miniscope_data\R201209\2021_01_11\10_32_24,,,NA,NA,NA,NA,,,,
4,R210413,210510,D:\Dropbox\Documents\Brown_Lab\experimental_data\miniscope_data\R210413\2021_05_10\13_45_03,,,NA,NA,NA,NA,,,,
5,R210721,,D:\Dropbox\Documents\Brown_Lab\experimental_data\miniscope_data\surgery\R210721\2021_10_12\19_05_58,,,NA,NA,NA,NA,,,,
6,R211013,,D:\Dropbox\Documents\Brown_Lab\experimental_data\miniscope_data\test\R211013\2021_11_02\10_39_21,,,NA,NA,NA,NA,,,,
7,R211022,,D:\Dropbox\Documents\Brown_Lab\experimental_data\miniscope_data\test\R211022\2021_11_02\10_58_59,,,NA,NA,NA,NA,,,,
8,R211013,,D:\Dropbox\Documents\Brown_Lab\experimental_data\miniscope_data\test\R211013\2021_11_16\10_12_56,,,NA,NA,NA,NA,,,,
9,R211013,,D:\Dropbox\Documents\Brown_Lab\experimental_data\miniscope_data\test\R211013\2021_11_16\10_14_43,,,NA,NA,NA,NA,,,,
10,Rtest,,,D:\Dropbox\Documents\Brown_Lab\experimental_data\Neuralynx_data\test_miniscope_noise\2021-12-10_14-29-31,,NA,NA,NA,NA,,Events.nev,PFCvsCBEEG,
11,test,220216,,D:\Dropbox\Documents\Brown_Lab\experimental_data\Neuralynx_data\test_miniscope_noise\2022-02-16_15-18-20,,NA,NA,NA,NA,,Events.nev,PFCvsCBEEG,
12,test,220309,,D:\Dropbox\Documents\Brown_Lab\experimental_data\Neuralynx_data\test_miniscope_noise\2022-03-09_14-21-05,,NA,NA,NA,NA,,Events.nev,PFCvsCBEEG,
13,test,220309,,D:\Dropbox\Documents\Brown_Lab\experimental_data\Neuralynx_data\test_miniscope_noise\2022-03-09_14-35-44,,NA,NA,NA,NA,,Events.nev,PFCvsCBEEG,
14,test,220309,,D:\Dropbox\Documents\Brown_Lab\experimental_data\Neuralynx_data\test_miniscope_noise\2022-03-09_14-21-05,,NA,NA,NA,NA,,Events.nev,filtered_PFCvsCBEEG,
15,R220606,220721,../../experimental_data/miniscope_data/test/R220606/2022_07_21/14_40_42,,,NA,NA,NA,NA,,,,
16,R220606,220721,../../experimental_data/miniscope_data/test/R220606/2022_07_21/16_20_59,,,NA,NA,NA,NA,,,,
17,R220607,220721,../../experimental_data/miniscope_data/test/R220607/2022_07_21/15_49_00,,,NA,NA,NA,NA,,,,
18,R220607,220721,../../experimental_data/miniscope_data/test/R220607/2022_07_21/15_51_22,,,NA,NA,NA,NA,,,,
19,R220606,220726,../../experimental_data/miniscope_data/test/R220606/2022_07_26/14_34_38,,,NA,NA,NA,NA,,,,
20,R220607,220726,../../experimental_data/miniscope_data/test/R220607/2022_07_26/14_57_17,,,NA,NA,NA,NA,,,,
21,R220629A,220829,../../experimental_data/miniscope_data/test/R220629A/2022_08_29/09_33_14,,,NA,NA,NA,NA,,,,
22,R220607,220810,../../experimental_data/miniscope_data/test/R220607/2022_08_10/10_55_07,,,NA,NA,NA,NA,,,,
23,R220817B,221014,../../experimental_data/miniscope_data/sleep/R220817B/2022_10_14/13_37_38,../../experimental_data/Neuralynx_data/R220817B/2022-10-14_13-32-41,0.2885,NA,NA,NA,NA,EMG.ncs,Events.nev,PFCLFPvsCBEEG;PFCEEGvsCBEEG;PCvsPFCEEG;CBvsPCEEG;EMG,Time at start of experiment is in the Neuralynx events file. Recorded with 40 kHz sample rate and no high-pass filter. Not sure whether headstage was bad or not yet.
24,R220817B,221018,../../experimental_data/miniscope_data/propofol/R220817B/2022_10_18/14_24_35,../../experimental_data/Neuralynx_data/R220817B/2022-10-18_14-03-40,0.2825,propofol,0.8,10,40,EMG.ncs,Events.nev,PFCLFPvsCBEEG;PFCEEGvsCBEEG;PCvsPFCEEG;CBvsPCEEG;EMG,"Iso for tail vein cannulation was stopped at 1:22 pm, >=1 hr before the start of the baseline recording. No clave; used luer-lock cap. Recorded with 40 kHz sample rate and no high-pass filter. Not sure whether headstage was bad or not yet."
25,R220817B,221022,../../experimental_data/miniscope_data/ketamine/R220817B/2022_10_22/14_12_19,../../experimental_data/Neuralynx_data/R220817B/2022-10-22_13-57-28,0.2955,ketamine,2,6,30,EMG.ncs,Events.nev,PFCLFPvsCBEEG;PFCEEGvsCBEEG;PCvsPFCEEG;CBvsPCEEG;EMG,"Iso for tail vein cannulation was stopped at 1:08 pm, >=1 hr before the start of the baseline recording. No clave; used luer-lock cap. Ketamine dilution was made by putting 0.6 mL of 100 mg/mL ketamine in 9.4 mL saline. Computer suddenly shut off when I tried to remote desktop in (I was having bad allergies). This was just after the infusion finished. As a result, the .ncs files won't open with Python Neo. Recorded with 40 kHz sample rate and no high-pass filter. Not sure whether headstage was bad or not yet."
