rownumber,id,date,primaryCSC,rat weight (kg),systemic drug,DREADDs drug,DREADDs drug route,systemic dose (% or mg/kg/min),systemic drug concentration (mg/mL),total systemic time (min),DREADDs drug concentration (mg/mL),DREADDs drug dose (mg/kg),zero time (s),channel of interest,event rows,emg channel,events filename,states filename,Xtrode filenames,Xtrode regions,units CSCs,LFP and EEG CSCs,Baseline Period (min),Systemic Drug Baseline Period (min),EMG Anesthesia Period (min),comments
1,R190321A,190410,\\mickey\MIT\Experimental Data\P01\R190321A_190410_baseline\PFCvsPCEEG.ncs,0.487,none,none,NA,NA,NA,NA,NA,NA,0,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,,"Bad IV, rat was going crazy and not going under, and the tail looked darker than normal, so I aborted the ketamine infusion."
2,R190321B,190411,\\mickey\MIT\Experimental Data\P01\R190321B_190411_syst_ketamine_clozapine\PFCvsPCEEG.ncs,0.460,ketamine,clozapine,iv,4.0,3,15,0.01,0.01,3233.64619200000,,20;25;28,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,,"Clozapine was given at ~minute 15. Clozapine was in a 0.01 mg/mL dilution, using 1% DMSO (made by first mixing 1 mg clozapine with 1 mL DMSO). No clave; used luer-lock cap. Ketamine concentration = 100 mg/mL. Dilution = 0.6 mL ketamine + 19.4 mL saline. This guy also had pink urine."
3,R190321A,190412,\\mickey\MIT\Experimental Data\P01\R190321A_190412_syst_ketamine_clozapine\PFCvsPCEEG.ncs,0.493,ketamine,clozapine,iv,4.0,3,15,0.01,0.01,2307.42696500000,,4;13;39,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,,"Clozapine was given at ~minute 15. Clozapine was in a 0.01 mg/mL dilution, using 1% DMSO (made by first mixing 1 mg clozapine with 1 mL DMSO). No clave; used luer-lock cap. Ketamine concentration = 100 mg/mL. Dilution = 0.6 mL ketamine + 19.4 mL saline. Pump stalled with about 30 s to go, so I pushed in (very) roughly 0.5 mL more."
4,R190320,190412,\\mickey\MIT\Experimental Data\P01\R190320_190412_baseline\PFCvsPCEEG.ncs,0.496,none,none,NA,NA,NA,NA,NA,NA,0,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,,"Bad IV, rat was going crazy and not going under, and the tail looked darker than normal, so I aborted the ketamine infusion."
5,R190321A,190415,\\mickey\MIT\Experimental Data\P01\R190321A_190415_syst_dexmedetomidine_clozapine\PFCvsPCEEG.ncs,0.497,dexmedetomidine,clozapine,iv,0.0045,0.00243902439,10,0.01,0.01,2159.85745400000,,4;8;26,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,,"Clozapine was given at ~minute 10. Clozapine was in a 0.01 mg/mL dilution, using 1% DMSO (made by first mixing 1 mg clozapine with 1 mL DMSO). No clave; used luer-lock cap. Dex concentration = 100 ug/mL. Dilution = 0.5 mL dex + 20 mL saline."
6,R190321B,190416,\\mickey\MIT\Experimental Data\P01\R190321B_190416_syst_dexmedetomidine_clozapine\PFCvsPCEEG.ncs,0.465,dexmedetomidine,clozapine,iv,0.0045,0.00243902439,10,0.01,0.01,2062.43496300000,,10;13;49,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,,"Clozapine was given at ~minute 10. Clozapine was in a 0.01 mg/mL dilution, using 1% DMSO (made by first mixing 1 mg clozapine with 1 mL DMSO). No clave; used luer-lock cap. Dex concentration = 100 ug/mL. Dilution = 0.5 mL dex + 20 mL saline. He likely has some urinary infection or damage."
7,R190320,190416,\\mickey\MIT\Experimental Data\P01\R190320_190416_syst_dexmedetomidine_clozapine\PFCvsPCEEG.ncs,0.511,dexmedetomidine,clozapine,iv,0.0045,0.00243902439,10,0.01,0.01,16166.9448720000,,6;9;58,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,,"Clozapine was given at ~minute 10. Clozapine was in a 0.01 mg/mL dilution, using 1% DMSO (made by first mixing 1 mg clozapine with 1 mL DMSO). No clave; used luer-lock cap. Dex concentration = 100 ug/mL. Dilution = 0.5 mL dex + 20 mL saline."
8,R190321B,190418,\\mickey\MIT\Experimental Data\P01\R190321B_190418_syst_propofol_CNO\PFCvsPCEEG.ncs,0.461,propofol,CNO,ip,0.8,10,40,0.5,5,2562.03271800000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,,CNO was given at ~1 hr before the start of the propofol infusion. No clave; used luer-lock cap.
9,R190320,190418,\\mickey\MIT\Experimental Data\P01\R190320_190418_syst_propofol_CNO\PFCvsPCEEG.ncs,0.510,propofol,CNO,ip,0.8,10,40,0.5,5,20748.6176010000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,,CNO was given at ~1 hr before the start of the propofol infusion. No clave; used luer-lock cap.
10,R190321A,190419,\\mickey\MIT\Experimental Data\P01\R190321A_190419_syst_propofol_CNO\PFCvsPCEEG.ncs,0.497,propofol,CNO,ip,0.8,10,40,0.5,5,3130.55033400000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,,CNO was given at ~1 hr before the start of the propofol infusion. No clave; used luer-lock cap.
11,R190321A,190422,\\mickey\MIT\Experimental Data\P01\R190321A_190422_syst_propofol_saline\PFCvsPCEEG.ncs,0.490,propofol,saline,ip,0.8,10,40,NA,NA,0,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,,"4.9 mL saline was given at ~1 hr before the start of the propofol infusion. No clave; used luer-lock cap. Bad IV, rat was going crazy and not going under, so I aborted the propofol infusion."
12,R190321B,190423,\\mickey\MIT\Experimental Data\P01\R190321B_190423_syst_ketamine_CNO\PFCvsPCEEG.ncs,0.478,ketamine,CNO,ip,4.0,3,15,0.5,5,2319.88245700000,,10;40,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,,CNO was given at ~1 hr before the start of the propofol infusion. No clave; used luer-lock cap.
13,R190321A,190423,\\mickey\MIT\Experimental Data\P01\R190321A_190423_syst_propofol_saline\PFCvsPCEEG.ncs,0.489,propofol,saline,ip,0.8,10,40,NA,NA,13973.9732850000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,,4.9 mL saline was given at ~1 hr before the start of the propofol infusion. No clave; used luer-lock cap.
14,R190320,190424,\\mickey\MIT\Experimental Data\P01\R190320_190424_syst_dexmedetomidine_CNO\PFCvsPCEEG.ncs,0.508,dexmedetomidine,CNO,ip,0.0045,0.00243902439,10,0.5,5,1515.41617100000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,,CNO was given at ~38 min before the start of the propofol infusion. No clave; used luer-lock cap.
15,R190321A,190429,\\mickey\MIT\Experimental Data\P01\R190321A_190429_baseline\PFCvsPCEEG.ncs,0.522,none,none,NA,NA,NA,NA,NA,NA,0,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,,
16,R190321A,190429,\\mickey\MIT\Experimental Data\P01\R190321A_190429_CNO\PFCvsPCEEG.ncs,0.522,none,CNO,ip,NA,NA,NA,0.5,1,0,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,,Approximately 5 mins of isoflurane was used to do the ip injection of CNO.
17,R190321B,190430,\\mickey\MIT\Experimental Data\P01\R190321B_190430_baseline\PFCvsPCEEG.ncs,0.485,none,none,NA,NA,NA,NA,NA,NA,0,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,,
18,R190321B,190430,\\mickey\MIT\Experimental Data\P01\R190321B_190430_CNO\PFCvsPCEEG.ncs,0.485,none,CNO,ip,NA,NA,NA,0.5,1,0,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,,Approximately 5 mins of isoflurane was used to do the ip injection of CNO.
19,R190320,190501,\\mickey\MIT\Experimental Data\P01\R190320_190501_CNO\PFCvsPCEEG.ncs,0.529,none,CNO,ip,NA,NA,NA,0.5,1,11420.5079780000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,,Approximately 5 mins of sevoflurane was used to do the ip injection of CNO. Sevoflurane was stopped only briefly before the recording was started.
20,R190321A,190522,\\mickey\MIT\Experimental Data\P01\R190321A_190522_syst_ketamine_CNO\PFCvsPCEEG.ncs,0.584,ketamine,CNO,ip,4,3,12.84,0.594,1,3133.07440900000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[1 2],NA,,"CNO was given at 11:32 am, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Only 10 ml of ketamine (rather than 11.9). Edited the timestamp in line 23 of the events file based on the video because it was clearly wrong."
21,R190619B,190703,D:\data\R190619B_R190617A_190703_syst_ketamine_saline\PFCvsPCEEG.ncs,0.495,ketamine,saline,ip,4,6,15,NA,NA,4556.30912500000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[-6 -1],NA,16,"Saline was given at 11:06 am, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 3 mL of 100 mg/mL ketamine in 47 mL saline."
22,R190617A,190703,D:\data\R190619B_R190617A_190703_syst_ketamine_saline\PFCvsPCEEG2.ncs,0.457,ketamine,saline,ip,4,6,15,NA,NA,5759.97934800000,,,EMG2.ncs,Events.nev,,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[1 2],NA,,"Saline was given at 11:26 am, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 3 mL of 100 mg/mL ketamine in 47 mL saline. IV came out mid-ketamine infusion."
23,R190618A,190703,D:\data\R190618A_R190618B_190703_syst_ketamine_saline\PFCvsPCEEG.ncs,0.509,ketamine,saline,ip,4,6,15,NA,NA,14548.6194030000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[-20 -15],NA,,"Saline was given at 1:52 pm, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 3 mL of 100 mg/mL ketamine in 47 mL saline."
24,R190618B,190703,D:\data\R190618A_R190618B_190703_syst_ketamine_saline\PFCvsPCEEG2.ncs,0.499,ketamine,saline,ip,4,6,15,NA,NA,19547.3040830000,,,EMG2.ncs,Events.nev,,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[-16 -11],NA,15,"Saline was given at 2:19 pm, ~2 hrs before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 3 mL of 100 mg/mL ketamine in 47 mL saline."
25,R190619A,190705,D:\data\R190619A_190705_syst_ketamine_saline\PFCvsPCEEG.ncs,0.536,ketamine,saline,ip,4,6,15,NA,NA,1719.93798700000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[-11 -6],NA,14.5,"Saline was given at 2:45 pm, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 3 mL of 100 mg/mL ketamine in 47 mL saline. Stopped before 2 hrs post-ketamine because he got unplugged, and when I plugged him back in his signals were bad."
26,R190618B,190708,D:\data\R190618B_R190618A_190708_syst_dexmedetomidine_CNO\PFCvsPCEEG.ncs,0.520,dexmedetomidine,CNO,ip,0.0045,0.005,10,0.5,1,5334.82238600000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[-11 -6],NA,11.2,"CNO was given at 12:05 pm, ~1 hr before the start of the dex infusion. No clave; used luer-lock cap. Dex dilution was made by putting 2 mL of 100 ug/mL dex in 38 mL saline. Heating pad was already started before recording. Rat was probably woken up by noise from the other rat."
27,R190618A,190708,D:\data\R190618B_R190618A_190708_syst_dexmedetomidine_CNO\PFCvsPCEEG2.ncs,0.528,dexmedetomidine,CNO,ip,0.0045,0.005,10,0.5,1,6886.20629300000,,,EMG2.ncs,Events.nev,,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[-7 -2],NA,,"CNO was given at 12:31 pm, ~1 hr before the start of the dex infusion. No clave; used luer-lock cap. Dex dilution was made by putting 2 mL of 100 ug/mL dex in 38 mL saline. Heating pad was already started before recording."
28,R190619B,190708,D:\data\R190619B_R190619A_190708_syst_dexmedetomidine_CNO\PFCvsPCEEG.ncs,0.516,dexmedetomidine,CNO,ip,0.0045,0.005,10,0.5,1,20039.4640220000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[-12 -7],NA,12+(49/60),"CNO was given at 4:11 pm, ~1 hr before the start of the dex infusion. No clave; used luer-lock cap. Dex dilution was made by putting 2 mL of 100 ug/mL dex in 38 mL saline. Heating pad was already started before recording."
29,R190619A,190708,D:\data\R190619B_R190619A_190708_syst_dexmedetomidine_CNO\PFCvsPCEEG2.ncs,0.543,dexmedetomidine,CNO,ip,0.0045,0.005,10,0.5,1,26087.6780820000,,,EMG2.ncs,Events.nev,,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[-8 -3],NA,11.4,"CNO was given at 4:31 pm, ~2 hrs before the start of the dex infusion. No clave; used luer-lock cap. Dex dilution was made by putting 2 mL of 100 ug/mL dex in 38 mL saline. Heating pad was already started before recording."
30,R190617A,190709,D:\data\R190423_R190617A_190709_syst_ketamine_syst_ketamine_CNO\PFCvsPCEEG2.ncs,0.482,ketamine,CNO,ip,4,6,15,0.5,1,9154.23313300000,,,EMG2.ncs,Events.nev,,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[-14 -9],NA,23+(11/60),"CNO was given at 1:22 pm, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 3 mL of 100 mg/mL ketamine in 47 mL saline. Heating pad was already started before recording."
31,R190620,190709,D:\data\R190620_R190617B_190709_syst_ketamine_syst_ketamine_CNO\PFCvsPCEEG.ncs,0.513,ketamine,CNO,ip,4,6,15,0.5,1,19918.8117710000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[-9 -4],NA,14+(14/60),"CNO was given at 4:22 pm, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 3 mL of 100 mg/mL ketamine in 47 mL saline. Heating pad was already started before recording."
32,R190617B,190709,D:\data\R190620_R190617B_190709_syst_ketamine_syst_ketamine_CNO\PFCvsPCEEG2.ncs,0.564,ketamine,CNO,ip,4,6,15,0.5,1,21053.4171710000,,,EMG2.ncs,Events.nev,,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[-13 -8],NA,16.8,"CNO was given at 4:42 pm, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 3 mL of 100 mg/mL ketamine in 47 mL saline. Heating pad was already started before recording."
33,R190618B,190711,D:\data\R190618B_R190618A_190711_syst_ketamine_syst_ketamine_CNO\PFCvsPCEEG2.ncs,0.532,ketamine,CNO,ip,4,6,15,0.5,1,2008.41810800000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[-10 -5],NA,4+(43/60),"CNO was given at 10:54 am, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 3 mL of 100 mg/mL ketamine in 47 mL saline. Heating pad was already started before recording."
34,R190618A,190711,D:\data\R190618B_R190618A_190711_syst_ketamine_syst_ketamine_CNO\PFCvsPCEEG2.ncs,0.538,ketamine,CNO,ip,4,6,15,0.5,1,3153.56273400000,,,EMG2.ncs,Events.nev,,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[-15 -10],NA,,"CNO was given at 11:19 am, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 3 mL of 100 mg/mL ketamine in 47 mL saline. Heating pad was already started before recording."
35,R190619B,190711,D:\data\R190619B_R190619A_190711_syst_ketamine_syst_ketamine_CNO\PFCvsPCEEG2.ncs,0.522,ketamine,CNO,ip,4,6,15,0.5,1,13233.2623630000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[-8 -3],NA,7+(23/60),"CNO was given at 2:06 pm, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 3 mL of 100 mg/mL ketamine in 47 mL saline. Heating pad was already started before recording."
36,R190619A,190711,D:\data\R190619B_R190619A_190711_syst_ketamine_syst_ketamine_CNO\PFCvsPCEEG2.ncs,0.540,ketamine,CNO,ip,4,6,15,0.5,1,14367.5032830000,,,EMG2.ncs,Events.nev,,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[-11 -6],NA,15.9,"CNO was given at 2:26 pm, ~1 hr before the start of the ketamine infusion. No clave; used luer-lock cap. Ketamine dilution was made by putting 3 mL of 100 mg/mL ketamine in 47 mL saline. Heating pad was already started before recording."
37,R190620,190712,D:\data\R190620_R190617A_190712_syst_dexmedetomidine_CNO\PFCvsPCEEG.ncs,0.522,dexmedetomidine,CNO,ip,0.0045,0.005,10,0.5,1,1981.78988500000,,,EMG.ncs,Events.nev,,,,,CBvsPFCEEG;EMG;PCvsCBEEG;PFCvsPCEEG,[-7 -2],NA,14+(8/60),"CNO was given at 11:13 am, ~1 hr before the start of the dex infusion. No clave; used luer-lock cap. Dex dilution was made by putting 2 mL of 100 ug/mL dex in 38 mL saline. Heating pad was already started before recording."
38,R190617A,190712,D:\data\R190620_R190617A_190712_syst_dexmedetomidine_CNO\PFCvsPCEEG2.ncs,0.4955,dexmedetomidine,CNO,ip,0.0045,0.005,10,0.5,1,3929.76457600000,,,EMG2.ncs,Events.nev,,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[-7 -2],NA,9+(14/60),"CNO was given at 11:48 am, ~1 hr before the start of the dex infusion. No clave; used luer-lock cap. Dex dilution was made by putting 2 mL of 100 ug/mL dex in 38 mL saline. Heating pad was already started before recording."
39,R190617B,190712,D:\data\R190610_R190617B_190712_syst_ketamine_dexmedetomidine_CNO\PFCvsPCEEG2.ncs,0.5805,dexmedetomidine,CNO,ip,0.0045,0.005,10,0.5,1,17409.2789790000,,,EMG2.ncs,Events.nev,,,,,CBvsPFCEEG2;EMG2;PCvsCBEEG2;PFCvsPCEEG2,[-13 -8],NA,13.2,"CNO was given at 3:31 pm, ~1 hr before the start of the dex infusion. No clave; used luer-lock cap. Dex dilution was made by putting 2 mL of 100 ug/mL dex in 38 mL saline. Heating pad was already started before recording."
